year,predictor,MAE,RMSE,MAPE,R2,Dir_Acc,Bias,Spearman
2016,Model,0.05038,0.07051,1936108983959.697,-0.134,0.5294,0.027162,0.1756
2016,Naive,0.07557,0.10334,2367591550278.535,-1.4359,0.3922,-0.001011,-0.1681
2017,Model,0.04055,0.05327,1.387,-0.0105,0.5283,0.00438,-0.0318
2017,Naive,0.06191,0.0768,5.239,-1.1002,0.4717,0.001901,-0.108
2018,Model,0.04336,0.0569,1.016,-0.0087,0.5192,0.001435,-0.1525
2018,Naive,0.06103,0.08422,2.279,-1.21,0.5385,-0.000795,-0.0794
2019,Model,0.04904,0.07216,1.059,-0.0197,0.5962,-0.007415,-0.0702
2019,Naive,0.07465,0.11544,4.297,-1.6101,0.4615,-7.4e-05,-0.157
2020,Model,0.04205,0.061,1.814,-0.0034,0.5577,0.001299,-0.0655
2020,Naive,0.06741,0.09102,15.951,-1.2339,0.4615,-4.9e-05,-0.1028
2021,Model,0.04802,0.06575,1.077,0.0018,0.5962,0.001388,0.1172
2021,Naive,0.06246,0.08762,2.931,-0.7724,0.5769,-0.000652,0.1538
2022,Model,0.03341,0.04276,1.169,-0.0123,0.5,0.003395,-0.0681
2022,Naive,0.04189,0.05617,3.09,-0.7469,0.5385,0.00098,0.162
2023,Model,0.04193,0.05958,1.299,-0.0006,0.4906,0.002137,0.1111
2023,Naive,0.04991,0.06836,3.334,-0.3173,0.5472,0.000369,0.3468
2024,Model,0.02944,0.03663,1.018,-0.004,0.5192,-0.000971,-0.0196
2024,Naive,0.0376,0.04886,3.808,-0.7864,0.5962,0.000408,0.1331
2025,Model,0.04,0.05637,1.025,-0.002,0.6047,0.001544,0.0723
2025,Naive,0.06394,0.09133,3.97,-1.63,0.4651,-0.00289,-0.2665
