,n,std_true,std_pred,attenuation,range_true,range_pred,min_true,max_true,min_pred,max_pred
2016,52,0.06592826062181474,0.11585769964368448,1.757329839297304,0.3475661342036111,0.5320511779107873,-0.17804367432849882,0.16952245987511227,-0.035111842463600364,0.4969393354471869
2017,53,0.052995117502376204,0.07271339015824398,1.3720771570132595,0.28754319410414547,0.2815696740524397,-0.18055633126938556,0.10698686283475993,-0.197045635763821,0.08452403828861872
2018,52,0.05665105452382049,0.0495831122054051,0.8752372329548873,0.2813594778283685,0.19595654696243608,-0.17734602289574214,0.10401345493262637,-0.12662473211678335,0.06933181484565272
2019,52,0.07145545464897726,0.08976316911493541,1.2562115734326265,0.4546029598781852,0.4628842647018795,-0.19650619178591108,0.2580967680922741,-0.25770607055130207,0.20517819415057742
2020,52,0.06089598475194541,0.039993968788495905,0.6567587165460567,0.3896433781703103,0.18843699004137024,-0.14634295575872291,0.2433004224115874,-0.05870699027232041,0.12972999976904984
2021,52,0.06581196613586264,0.059508010939940126,0.9042126293125996,0.40395044073926134,0.2552268113815166,-0.27444907430323634,0.129501366436025,-0.08713994159490263,0.168086869786614
2022,52,0.04249679054011896,0.053414746973920874,1.2569124937445535,0.23156944081066877,0.22358550178983455,-0.11549344633604726,0.1160759944746215,-0.06251804379276052,0.16106745799707403
2023,53,0.05955679164726403,0.06802763792827582,1.1422314071446615,0.3640985627548245,0.2577710212083998,-0.11501490394338436,0.24908365881144012,-0.17907019785527242,0.07870082335312736
2024,52,0.036555124407949204,0.03330257189082372,0.911023349809249,0.1710954708081848,0.16014637490822914,-0.07463743868587312,0.09645803212231167,-0.10393042331548837,0.05621595159274077
2025,43,0.05631805196306641,0.028689336585904137,0.50941635205562,0.28768944568412336,0.1492169880696629,-0.17258059897181605,0.11510884671230733,-0.06799062664261508,0.08122636142704782
ALL,513,0.057866566972701296,0.08710943345896303,1.5053499458514126,0.5325458423955105,0.754645405998489,-0.27444907430323634,0.2580967680922741,-0.25770607055130207,0.4969393354471869
