,n,std_true,std_pred,attenuation,range_true,range_pred,min_true,max_true,min_pred,max_pred
2016,52,0.06592826062181474,0.012366433627903461,0.18757409207018547,0.3475661342036111,0.05337082967162132,-0.17804367432849882,0.16952245987511227,0.0011388958664610982,0.0545097254216671
2017,53,0.052995117502376204,0.003100339788943529,0.05850236653979521,0.28754319410414547,0.017139965668320656,-0.18055633126938556,0.10698686283475993,-0.00020698180014733225,0.016932982951402664
2018,52,0.05665105452382049,0.00187548971734941,0.033105998345729096,0.2813594778283685,0.009731827303767204,-0.17734602289574214,0.10401345493262637,-0.001290635671466589,0.008441191166639328
2019,52,0.07145545464897726,0.001693830476142466,0.023704705042650088,0.4546029598781852,0.007048988249152899,-0.19650619178591108,0.2580967680922741,0.00012019411224173382,0.007169182412326336
2020,52,0.06089598475194541,0.0012389585608616471,0.020345488555746968,0.3896433781703103,0.005229566246271133,-0.14634295575872291,0.2433004224115874,0.004382808692753315,0.009612374939024448
2021,52,0.06581196613586264,0.001115325023420155,0.016947146376354583,0.40395044073926134,0.0051216729916632175,-0.27444907430323634,0.129501366436025,0.005432856734842062,0.01055452972650528
2022,52,0.04249679054011896,0.001754622906446457,0.041288362818599454,0.23156944081066877,0.007588817737996578,-0.11549344633604726,0.1160759944746215,0.0010963502572849393,0.008685167878866196
2023,53,0.05955679164726403,0.0016471156850457191,0.027656219206720577,0.3640985627548245,0.00861925445497036,-0.11501490394338436,0.24908365881144012,0.0014567486941814423,0.010076003149151802
2024,52,0.036555124407949204,0.0018881576834246516,0.051652339145481244,0.1710954708081848,0.006085412111133337,-0.07463743868587312,0.09645803212231167,8.7403466750402e-05,0.006172815803438425
2025,43,0.05631805196306641,0.0018895549001172185,0.033551496087904385,0.28768944568412336,0.007949106395244598,-0.17258059897181605,0.11510884671230733,-0.003729318268597126,0.004219788126647472
ALL,513,0.057866566972701296,0.008582274429500103,0.14831144957240705,0.5325458423955105,0.05823904275894165,-0.27444907430323634,0.2580967680922741,-0.003729318268597126,0.0545097254216671
