feature,baseline_rho,mean_importance,std_importance,min_importance,max_importance
close_position_lag1,0.1467,0.03826,0.02048,0.00306,0.06843
demand_supply_ratio,0.1467,0.03643,0.05372,-0.07828,0.12347
roi_range_lag1_d1,0.1467,0.02989,0.031,-0.02981,0.08667
knife_mean_lag1_d1,0.1467,0.01531,0.02434,-0.01879,0.06983
units_roc_4w,0.1467,0.01246,0.00838,-5e-05,0.03089
logret_lag2,0.1467,0.00891,0.00511,0.00247,0.01992
vol_13w,0.1467,0.00782,0.00927,-0.00535,0.02513
knife_range_lag1,0.1467,0.00719,0.00578,0.00049,0.01834
knife_vol_13w,0.1467,0.0069,0.00641,-0.00046,0.02112
intraweek_range,0.1467,0.0058,0.0042,-0.00163,0.01204
knife_vol_ratio,0.1467,0.00556,0.00558,-0.00181,0.01479
body_ratio_lag1,0.1467,0.00527,0.00627,-0.00335,0.0181
knife_macd,0.1467,0.00436,0.01456,-0.01506,0.03548
price_vol_ratio,0.1467,0.00418,0.0017,0.0004,0.00678
knife_vol_4w,0.1467,0.00408,0.00262,0.00017,0.00797
ratio_min_roc_1w,0.1467,0.00344,0.00362,-0.00472,0.00796
ratio_med_rmean13_d1,0.1467,0.00317,0.0062,-0.01135,0.01089
roi_mom_cross_4_13,0.1467,0.00249,0.00145,-0.0002,0.00432
units_rmean13_d1,0.1467,0.00238,0.0029,-0.00182,0.00702
units_sum_ratio,0.1467,0.0022,0.00342,-0.00216,0.00888
wick_asymmetry,0.1467,0.00174,0.00395,-0.00326,0.01043
logret_lag1,0.1467,0.0017,0.00613,-0.0065,0.0172
roi_rmean13_d1,0.1467,0.00167,0.00209,-0.00149,0.00539
players_roc_4w,0.1467,0.00154,0.0034,-0.00626,0.00535
knife_body_lag1,0.1467,0.00137,0.00364,-0.00346,0.00655
roi_roc_1w,0.1467,0.00134,0.00943,-0.0181,0.01473
price_win_rate4,0.1467,0.00133,0.00038,0.00108,0.00224
momentum_13w,0.1467,0.00118,0.00228,-0.00235,0.00586
ratio_min_rmean13_d1,0.1467,0.00115,0.00142,-0.00066,0.00281
knife_rstd13_d1,0.1467,0.00076,0.00082,-0.00058,0.00173
knife_rstd4,0.1467,0.00054,0.00143,-0.0014,0.00296
players_delta,0.1467,0.00036,0.00139,-0.00181,0.0031
units_sum_lag1,0.1467,0.00035,0.00254,-0.00296,0.00614
price_win_rate8,0.1467,0.00015,0.00095,-0.00134,0.00209
roi_mean_lag2_d1,0.1467,0.00012,0.00071,-0.00078,0.00146
is_steam_sale,0.1467,0.0,0.0,0.0,0.0
roi_cross_up,0.1467,0.0,0.0,0.0,0.0
roi_cross_down,0.1467,0.0,0.0,0.0,0.0
knife_roc_4w,0.1467,-7e-05,0.00398,-0.00668,0.00604
roi_roc_4w,0.1467,-0.0001,0.00049,-0.00121,0.00048
ratio_med_rmean4_d1,0.1467,-0.00014,0.00226,-0.00301,0.00473
is_major_week,0.1467,-0.00015,0.00061,-0.00113,0.00137
knife_vs_price_mom,0.1467,-0.0003,0.00059,-0.0013,0.00065
ratio_x_units_mom,0.1467,-0.00036,0.00269,-0.00379,0.00462
knife_macd_hist,0.1467,-0.00044,0.00174,-0.00444,0.00209
units_roc_1w,0.1467,-0.00105,0.00228,-0.00544,0.00239
knife_wick_asym_lag1,0.1467,-0.00144,0.00133,-0.00311,0.00163
ratio_med_roc_1w,0.1467,-0.00158,0.0026,-0.00494,0.00398
month_cos,0.1467,-0.00173,0.00077,-0.00282,-0.00032
players_rmean13_d1,0.1467,-0.00221,0.0045,-0.00952,0.00504
ratio_min_rmean4_d1,0.1467,-0.00309,0.00201,-0.00676,-0.00048
vol_4w,0.1467,-0.00361,0.00493,-0.01324,0.00672
month_sin,0.1467,-0.00513,0.00651,-0.01578,0.00656
