feature,verdict,adf_p,kpss_p,action
body_ratio_lag1,STATIONARY,0.0,0.1,USE RAW
close_position_lag1,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
wick_asymmetry,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0026,0.01,REVIEW
intraweek_range,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0003,0.01,REVIEW
knife_body_lag1,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
knife_close_pos_lag1,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,DROP
knife_wick_asym_lag1,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
knife_range_lag1,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
logret_lag1,STATIONARY,0.0,0.1,USE RAW
logret_lag2,STATIONARY,0.0,0.1,USE RAW
logret_rmean4,STATIONARY,0.0,0.1,USE RAW
logret_rstd4,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
logret_rmean13,STATIONARY,0.0,0.1,USE RAW
logret_rstd13,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
momentum_4w,STATIONARY,0.0,0.1,USE RAW
momentum_13w,STATIONARY,0.0,0.1,USE RAW
price_roc_4w,STATIONARY,0.0,0.1,USE RAW
vol_4w,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
vol_13w,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.01,REVIEW
price_vol_ratio,STATIONARY,0.0,0.1,USE RAW
price_win_rate4,STATIONARY,0.0,0.1,USE RAW
price_win_rate8,STATIONARY,0.0,0.1,USE RAW
units_sum_lag1,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0025,0.01,REVIEW
units_sum_lag2,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0027,0.01,REVIEW
units_sum_lag3,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0021,0.01,REVIEW
units_sum_lag4,"INCONCLUSIVE (ADF ok, KPSS fails)",0.002,0.01,REVIEW
units_rmean4,NON-STATIONARY,0.3257,0.01,DIFF
units_rmean13,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0006,0.01,DIFF
units_sum_ratio,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.0205,REVIEW
units_roc_1w,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.0242,REVIEW
units_roc_4w,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0,0.0308,REVIEW
knife_mean_lag1,NON-STATIONARY,0.9907,0.01,DIFF
knife_rmean4,NON-STATIONARY,0.9846,0.01,DIFF
knife_rstd4,"INCONCLUSIVE (ADF ok, KPSS fails)",0.0112,0.01,REVIEW
knife_rmean13,NON-STATIONARY,0.994,0.01,DIFF
knife_rstd13,NON-STATIONARY,0.0776,0.01,DIFF
knife_roc_4w,STATIONARY,0.0,0.1,USE RAW
knife_macd,STATIONARY,0.0,0.1,USE RAW
knife_macd_hist,STATIONARY,0.0,0.1,USE RAW
