date,y_true,y_pred,fold,train_size,val_size,best_iter
2016-01-03,0.05009783698277691,0.054509725,0,78,26,163
2016-01-10,0.050952327173927205,0.03741148,1,79,26,176
2016-01-17,0.03188367840522198,0.024068376,2,80,26,417
2016-01-24,0.04098934453319695,0.035497233,3,81,26,219
2016-01-31,0.16952245987511227,0.047171384,4,82,26,373
2016-02-07,-0.13401577141820242,0.041803144,5,83,26,217
2016-02-14,0.03895979658919049,0.041379992,6,84,26,334
2016-02-21,-0.17804367432849882,0.03828411,7,85,26,179
2016-02-28,0.07506201897437736,0.032883957,8,86,26,89
2016-03-06,0.04346313174389439,0.028617226,9,87,26,169
2016-03-13,0.03880215185647981,0.038945634,10,88,26,99
2016-03-20,0.10640659059511731,0.037472118,11,89,26,155
2016-03-27,-0.017256683623312674,0.038758766,12,90,26,18
2016-04-03,-0.08156693224734929,0.03738642,13,91,26,18
2016-04-10,0.06666091316172185,0.038201664,14,92,26,0
2016-04-17,0.027016893755536155,0.03857952,15,93,26,0
2016-04-24,-0.05115753856681123,0.03891648,16,94,26,0
2016-05-01,-0.028455338883043205,0.03913069,17,95,26,0
2016-05-08,-0.058473770820126524,0.036654152,18,96,26,45
2016-05-15,0.011776387323825119,0.03607726,19,97,26,26
2016-05-22,-0.019705071079332333,0.035319623,20,98,26,25
2016-05-29,0.025541663523783772,0.028654383,21,99,26,45
2016-06-05,0.02962471778492409,0.034818184,22,100,26,45
2016-06-12,0.03787981745161839,0.032293696,23,101,26,45
2016-06-19,-0.10103824929166398,0.009445132,24,102,26,207
2016-06-26,-0.15951442047747622,0.022036672,25,103,26,298
2016-07-03,0.07587112277210274,0.037181467,26,104,26,265
2016-07-10,-0.032135729264294706,0.030886812,27,104,26,416
2016-07-17,0.012311291479450249,0.03467251,28,104,26,346
2016-07-24,-0.013438052162040926,0.044504136,29,104,26,868
2016-07-31,0.03652868773350648,0.037917793,30,104,26,779
2016-08-07,0.047754431295900034,0.037665103,31,104,26,366
2016-08-14,-0.011464429890699486,0.004300426,32,104,26,422
2016-08-21,-0.08758329579275097,0.0045423172,33,104,26,555
2016-08-28,0.06317890162153167,0.02527626,34,104,26,369
2016-09-04,-0.011885607233981197,0.018307634,35,104,26,1383
2016-09-11,0.02681125745065677,0.02330935,36,104,26,972
2016-09-18,0.0,0.02192503,37,104,26,1439
2016-09-25,-0.007434978487517866,0.0011388959,38,104,26,534
2016-10-02,0.05092009042725674,0.0014500424,39,104,26,282
2016-10-09,-0.016343571142156486,0.03010439,40,104,26,519
2016-10-16,0.028428310357228544,0.01682199,41,104,26,0
2016-10-23,-0.03878036967826106,0.016640186,42,104,26,2
2016-10-30,-0.02209453370624287,0.015880054,43,104,26,16
2016-11-06,0.017923516188904736,0.017390974,44,104,26,0
2016-11-13,0.00521105921275207,0.015937433,45,104,26,61
2016-11-20,-0.029538012436863756,0.016357854,46,104,26,168
2016-11-27,-0.03597118062050475,0.01689743,47,104,26,19
2016-12-04,-0.09054905693126798,0.020671632,48,104,26,177
2016-12-11,0.06355079169511317,0.016336098,49,104,26,4
2016-12-18,-0.07577588282437234,0.013970462,50,104,26,61
2016-12-25,0.10166365377650005,0.017856253,51,104,26,6
2017-01-01,0.02955880224154443,0.016932983,52,104,26,92
2017-01-08,0.02871010588243136,0.013620989,53,104,26,2
2017-01-15,0.0031397200046678463,0.0085808765,54,104,26,47
2017-01-22,0.01039510400033997,0.011640264,55,104,26,21
2017-01-29,0.006185586732710744,0.010198088,56,104,26,10
2017-02-05,0.07520852621029202,0.00945759,57,104,26,96
2017-02-12,-0.016338662354789105,0.013308924,58,104,26,302
2017-02-19,-0.024523053322945795,0.008932068,59,104,26,1
2017-02-26,0.07368228928102923,0.0073693674,60,104,26,52
2017-03-05,0.0746349813885809,0.007427515,61,104,26,155
2017-03-12,-0.03130690462504402,0.005201378,62,104,26,189
2017-03-19,-0.18055633126938556,0.0071201622,63,104,26,4
2017-03-26,-0.0257248912384357,0.009000767,64,104,26,266
2017-04-02,-0.030873455378807927,0.010220488,65,104,26,160
2017-04-09,0.014452725166480355,0.0062042368,66,104,26,250
2017-04-16,0.02829350864261178,0.009958565,67,104,26,227
2017-04-23,-0.002148228538289495,0.0116565,68,104,26,301
2017-04-30,0.06956618381453669,0.0058732335,69,104,26,368
2017-05-07,-0.002008032803245746,0.004044079,70,104,26,459
2017-05-14,0.059500727107614074,0.00076251995,71,104,26,139
2017-05-21,-0.0009474183560399392,0.0042814924,72,104,26,164
2017-05-28,-0.07476440337965669,0.007850249,73,104,26,124
2017-06-04,0.05562506316895912,0.0071739526,74,104,26,179
2017-06-11,-0.08674790708954147,0.006766333,75,104,26,3
2017-06-18,0.06526270563875558,0.0046912683,76,104,26,156
2017-06-25,-0.02296656112004776,0.0070366384,77,104,26,42
2017-07-02,0.011049836186584935,-0.0002069818,78,104,26,178
2017-07-09,-0.006012042156627834,0.0053347615,79,104,26,0
2017-07-16,-0.00503779402995707,0.010116622,80,104,26,203
2017-07-23,-0.007095822981469105,0.009206613,81,104,26,61
2017-07-30,0.10698686283475993,0.011172557,82,104,26,75
2017-08-06,0.0490512948668293,0.011039802,83,104,26,59
2017-08-13,-0.03003759395453655,0.009511327,84,104,26,39
2017-08-20,0.08588967188042973,0.009889012,85,104,26,0
2017-08-27,-0.048049697641708314,0.008689156,86,104,26,23
2017-09-03,0.022204157311010372,0.0061799283,87,104,26,40
2017-09-10,-0.03436764350420777,0.009475158,88,104,26,0
2017-09-17,-0.11964228046385543,0.009579095,89,104,26,13
